Beta_I,Beta_E,N,P_IFR,T_d,T_r,T_c
6.412891786683916351e-01,4.046008229047344251e-01,8.364201493604034476e+04,8.505331270086428919e-02,2.701687587545190894e+01,1.644811951312149745e+01,8.645614602156715733e+00
6.544143659205992059e-01,4.128242513229603006e-01,8.367195873801548441e+04,8.846789717653398555e-02,2.883975361878512444e+01,1.560835036129463482e+01,8.726874747863192283e+00
6.116922777504419928e-01,4.269225106561310712e-01,8.350721647629726795e+04,7.905955291346125624e-02,2.572617080143598756e+01,1.744319170803702690e+01,8.726272163125534220e+00
5.227050745600934079e-01,4.771650459323490967e-01,8.362343161353252071e+04,9.180473219419685305e-02,2.559909990609738628e+01,1.398725382847542953e+01,8.536550121511456979e+00
5.402646521687461956e-01,4.689201154514145986e-01,8.354454128104598203e+04,8.531969419852546144e-02,2.479978162056475455e+01,1.460813792822879265e+01,8.481274584087111990e+00
5.397989674457988052e-01,4.749179176057386487e-01,8.377539873767818790e+04,8.449127047369318910e-02,2.984418837638689936e+01,1.778176922932344795e+01,9.032547563366081889e+00
5.235566787342429418e-01,4.709881996601049670e-01,8.386330494511897268e+04,9.107008233278363063e-02,2.936018698492343049e+01,1.646304284925476935e+01,8.854694638126657580e+00
5.330247715573642742e-01,4.828086361537874405e-01,8.360507005943120748e+04,8.473391439113493739e-02,2.436915732077283536e+01,1.453356931581371292e+01,8.902028143849703312e+00
2.227360428547110471e-01,5.425655230669048645e-01,8.290113227294519311e+04,6.985656100561410398e-02,2.019999999999999929e+01,1.594341678191116785e+01,5.929999999999999716e+00
8.477069625250736040e-01,1.586916580419681644e-01,8.266716939323385304e+04,4.528237649573574330e-02,2.026611307706160048e+01,2.239139941292066638e+01,5.959847865065706962e+00
8.173516231506835483e-01,1.791469414567279927e-01,8.351055870256652997e+04,7.206567527126753192e-02,2.021758482339992824e+01,1.437864602166044037e+01,5.928619876853826298e+00
7.650001617061853443e-01,2.042947891879743905e-01,8.345532117025260231e+04,7.217856600332350769e-02,2.025923529569816139e+01,1.313191682249641268e+01,5.966789690029338900e+00
9.189238693854394624e-01,1.264748208669591034e-01,8.318177319204347441e+04,6.711962408713088857e-02,2.022935412742331707e+01,1.429973845659593223e+01,5.993798184305257237e+00
9.224244410582974618e-01,1.333587188084597031e-01,8.332865257633707370e+04,9.445611599699763050e-02,2.020060278159584399e+01,9.872472905942064614e+00,5.969524389835965117e+00
5.835630532110341884e-01,3.260519748220957470e-01,8.331806345665326808e+04,1.084023449950390211e-01,2.025414175318287135e+01,8.784538195636901747e+00,5.940620211126887540e+00
6.585196163919311285e-01,2.723652308857655857e-01,8.334274214994427166e+04,7.364822892458255943e-02,2.020078440437723089e+01,1.434954475269459806e+01,5.942693329905584854e+00
7.686423016120847995e-01,2.279299591813056802e-01,8.312543078666798829e+04,9.244748342457623225e-02,2.022387924705864393e+01,1.063698196079854696e+01,5.977535644671421622e+00
